skills,salary,english,experience,vacancy_url
"Python,Django,Django ORM,Celery,Kubernetes,Postgres,Redis",-1,від       Upper-Intermediate,від         4 років досвіду,https://djinni.co/jobs/664760-senior-python-engineer-business-aviation-saas/
Python,-1,Виключно       від       Upper-Intermediate,Виключно                       від         4 років досвіду,https://djinni.co/jobs/664589-mid-sr-python-developer/
Python,-1,Виключно       від       Advanced/Fluent,Виключно                       від         6 років досвіду,https://djinni.co/jobs/664706-senior-backend-engineer/
"Python,Azure DevOps,MySQL,JavaScript,CSS,C#",-1,від       Advanced/Fluent,Виключно                       від         8 років досвіду,https://djinni.co/jobs/664688-back-end-developer/
"Java,Backend development,FastAPI,Google Cloud Platform,REST API",$800-1800,Виключно       від       Intermediate,від         3 років досвіду,https://djinni.co/jobs/664420-senior-backend-developer-java-and-fastapi-/
-1,-1,-1,-1,https://djinni.co/jobs/641077-python-ai-developer-with-raspberry-pi-and-fpv/
"React.js,Python",-1,Виключно       від       Upper-Intermediate,Виключно                       від         2 років досвіду,https://djinni.co/jobs/664643-junior-middle-fullstack-react-js-python-devel/
-1,-1,Виключно       від       Upper-Intermediate,Виключно                       від         1.5 років досвіду,https://djinni.co/jobs/664545-reactjs-python-developer/
-1,-1,Виключно       від       Upper-Intermediate,від         6 років досвіду,https://djinni.co/jobs/664479-python-django-developer/
"Python,Django",-1,від       Upper-Intermediate,від         4 років досвіду,https://djinni.co/jobs/664494-python-django-developer/
"Docker Swarm,Redux/Redux-Toolkit/Thunk/Saga",-1,-1,-1,https://djinni.co/jobs/664438-api-scraper/
"Python,MongoDB",-1,Виключно       від       Upper-Intermediate,Виключно                       від         4 років досвіду,https://djinni.co/jobs/664279-strong-middle-senior-backend-engineer-python-/
-1,-1,Виключно       від       Upper-Intermediate,від         7 років досвіду,https://djinni.co/jobs/663919-senior-python-developer/
Web Scrapping,-1,Виключно       від       Upper-Intermediate,Виключно                       від         2 років досвіду,https://djinni.co/jobs/664453-developer-with-bright-data-experience/
Python,$700-1700,Виключно       від       Upper-Intermediate,від         3 років досвіду,https://djinni.co/jobs/664462-python-developer-middle/
-1,-1,Виключно       від       Upper-Intermediate,Виключно                       від         4 років досвіду,https://djinni.co/jobs/664331-senior-python-ai-developer/
-1,-1,від       Intermediate,від         2 років досвіду,https://djinni.co/jobs/664392-backend-developer-web-mobile-apps-/
"Python,aiohttp",-1,від       Intermediate,Виключно                       від         0.5 років досвіду,https://djinni.co/jobs/435052-junior-python-developer/
-1,-1,від       Intermediate,від         2 років досвіду,https://djinni.co/jobs/643261-python-backend-developer/
"Python,Embedded,Linux,Networking",-1,від       Upper-Intermediate,від         3 років досвіду,https://djinni.co/jobs/655426-software-engineer-c-python-/
"Django,Python,Bootstrap,PostgreSQL,Docker Compose,Docker,Agile Project Management",$100-150,Виключно       від       Pre-Intermediate,від         0.5 років досвіду,https://djinni.co/jobs/633965-junior-python-django-developer/
"AI,Python,API",-1,від       Intermediate,від         1 року досвіду,https://djinni.co/jobs/663561-python-ai-engineer/
"python,computer vision,machine learning,LLM,AI,Data Science/Machine Learning",-1,від       Upper-Intermediate,від         1 року досвіду,https://djinni.co/jobs/173463-python-developer-middle-senior-lvls-for-compu/
"Python / Django,OOP,SQL,Pandas,Celery/RabbitMQ/Redis,ETL",-1,Виключно       від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/663485-senior-python-developer-who-now-lives-in-wars/
"Python,FastAPI,asyncio,Postgre SQL,AWS,BlackSheep,Pandas",-1,від       Advanced/Fluent,від         2 років досвіду,https://djinni.co/jobs/663599-python-software-engineer/
"AWS / EC2 / ECS / EKS,Python3,AWS/GCP/Azure,MySQL/PostgreSQL/MongoDB,Fast API,Docker / Docker Compose,CI / CD",-1,Виключно       від       Upper-Intermediate,Виключно                       від         2 років досвіду,https://djinni.co/jobs/663603-middle-python-back-end-developer/
"AI,ML,Python,R,PyTorch,Tensorflow",-1,Виключно       від       Upper-Intermediate,Виключно                       від         3 років досвіду,https://djinni.co/jobs/663246-ai-developer/
"Python,ASGI/WSGI,Kafka or RabbitMQ,ORM,Sanic,Flask,Django",$4000-6500,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/663281-senior-python-developer/
"startups,AI,Backend development,Django Rest Framework,Python / Django",$800-3500,від       Intermediate,Без досвіду,https://djinni.co/jobs/663320-django-backend-developer-early-stage-ai-start/
"Python / Django,Python,Django,Python/Django/Django-rest-framework",-1,від       Intermediate,Виключно                       від         4 років досвіду,https://djinni.co/jobs/663327-python-engineer/
"Python basics,React,React.js,Python / Django,Full-stack Web Development",$3200-6000,від       Upper-Intermediate,від         2 років досвіду,https://djinni.co/jobs/91156-full-stack-python-django-reactjs-web-develope/
"Python,Django,Fluent English,English",-1,Виключно       від       Upper-Intermediate,Виключно                       від         1 року досвіду,https://djinni.co/jobs/647251-junior-python-developer/
"Python3,MongoDB/PostgreSQL/MySQL,asyncio,aiohttp",-1,від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/655852-senior-backend-engineer-python-/
"Python,Django,Postgres,MongoDB,Elasticsearch,Celery,SQLAlchemy",-1,від       Advanced/Fluent,Виключно                       від         4 років досвіду,https://djinni.co/jobs/663378-middle-python-engineer/
"Go,Python,GCP/Azure/AWS",-1,від       Advanced/Fluent,від         6 років досвіду,https://djinni.co/jobs/662843-senior-software-engineer-python-go-/
Python,-1,Виключно       від       Upper-Intermediate,Виключно                       від         4 років досвіду,https://djinni.co/jobs/662908-looking-for-a-python-developer/
"Python,SQLAlchemy,Postgre SQL,LLM,FastAPI,Terraform,AWS",-1,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/662950-senior-backend-engineer-python-/
"Django/Python,Django,Linux,databases",$7560-11760,від       Advanced/Fluent,Виключно                       від         5 років досвіду,https://djinni.co/jobs/605658-reef-technologies-senior-python-backend-engin/
"Python,TypeScript,Kubernetes,Docker",$5000-8000,Виключно       від       Upper-Intermediate,від         6 років досвіду,https://djinni.co/jobs/662999-python-typescript-developer-for-innovative-ad/
-1,-1,від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/649882-senior-python-backend-engineer/
"Django,React",-1,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/663116-senior-fullstack-django-react-engineer/
"UAV,ArduPilot,Jetson,Raspberry Pi,GIS",-1,Виключно       від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/663514-python-uav-developer/
-1,-1,Виключно       від       Pre-Intermediate,Виключно                       від         2 років досвіду,https://djinni.co/jobs/649573-backend-developer-python-/
"Python,Kubernetes,Docker,AWS,Azure Cloud",-1,від       Upper-Intermediate,від         6 років досвіду,https://djinni.co/jobs/662503-lead-python-developer-irc228175-/
"Python,Git,REST API,SQL,AWS,OOP,Docker",$600-900,від       Pre-Intermediate,Виключно                       від         0.5 років досвіду,https://djinni.co/jobs/662506-junior-python-developer/
"Python,Django,Team Lead,CI/CD,Flask,Mongo DB",-1,від       Advanced/Fluent,від         5 років досвіду,https://djinni.co/jobs/662601-senior-python-engineer/
"Python,Django,Team Lead,CI/CD,Flask,Mongo DB",-1,від       Advanced/Fluent,від         5 років досвіду,https://djinni.co/jobs/662602-senior-python-engineer/
"Python,Flask,Django,Redis,Git,MongoDB,MS SQL",-1,Виключно       від       Intermediate,Виключно                       від         2 років досвіду,https://djinni.co/jobs/104851-senior-backend-developer/
"AI,NLP,Python,LLMs,OpenAI,API,FastAPI",$2400-4000,Виключно       від       Intermediate,Виключно                       від         3 років досвіду,https://djinni.co/jobs/638135-ai-engineer-generative-nlp-ai-agents-promptin/
"Python,Backend development,Backend,back-end",$3000-4000,від       Intermediate,від         3 років досвіду,https://djinni.co/jobs/621439-backend-developer-python-/
"Python,AWS,AWS Lambda,DynamoDB,MySQL/PostgreSQL,Terraform,Serverless",-1,від       Intermediate,Виключно                       від         3 років досвіду,https://djinni.co/jobs/662228-senior-python-engineer/
"Python scripting,Python / Django,Python",-1,Виключно       від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/662231-senior-python-engineer/
"Python/Django/Django-rest-framework,Unitest/ Pytest,Upper - Intermediate English",-1,Виключно       від       Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/662249-python-developer/
"Python / Django,Python,Django,Django Rest Framework",-1,від       Intermediate,від         2.5 років досвіду,https://djinni.co/jobs/662428-middle-python-django-/
"Python,Django,Team Lead,CI/CD,Flask,Mongo DB",-1,Виключно       від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/662277-senior-python-engineer/
"AI,PyTorch,Python,TypeScript,AWS S3,Computer Vision,OpenCV",-1,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/662290-sr-ai-backend-developer/
"Python,Fast API,FastAPI,SQLAlchemy,GitLab,AWS,K8s",-1,Виключно       від       Intermediate,Виключно                       від         4 років досвіду,https://djinni.co/jobs/653463-python-developer/
-1,-1,Виключно       від       Intermediate,Виключно                       від         4 років досвіду,https://djinni.co/jobs/663515-senior-python-developer/
"Mathematics,Python3,C/C++",$200-700,від       Upper-Intermediate,від         0.5 років досвіду,https://djinni.co/jobs/661497-junior-python-developer/
Python,-1,Виключно       від       Upper-Intermediate,Виключно                       від         2.5 років досвіду,https://djinni.co/jobs/661512-python-developer/
"Python,Python / Django",-1,-1,-1,https://djinni.co/jobs/661866-python-rozrobnik-na-proekt-/
"Python,ML,SQL,Snowflake,Apache Airflow,GCP,Scala",-1,від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/661922-python-ml-data-engineer/
"Python,AI,ML,Backend development,LangChain,LLMs",$4000-5500,від       Upper-Intermediate,від         4.5 років досвіду,https://djinni.co/jobs/661685-senior-ml-engineer/
Python,-1,-1,-1,https://djinni.co/jobs/556815-python-developers-permanent-requires-relocati/
"Python,Machine Learning,SQL,OLAP storage,Apache Airflow,Snowflake and Snowpark,Scala",-1,Виключно       від       Upper-Intermediate,від         4 років досвіду,https://djinni.co/jobs/661941-python-ml-data-engineer/
-1,-1,Виключно       від       Intermediate,Виключно                       від         1 року досвіду,https://djinni.co/jobs/600976-python-developer-scraping-/
"GoLang / Go,MySQL/Postgres,Docker,fintech,RabbitMQ",$3000-4000,від       Intermediate,від         2 років досвіду,https://djinni.co/jobs/463464-golang-developer/
-1,-1,-1,-1,https://djinni.co/jobs/661145-python-developer-middle-senior-/
-1,-1,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/661168-software-engineer/
"Python,BigQuery,PostgreSQL",-1,Виключно       від       Upper-Intermediate,від         6 років досвіду,https://djinni.co/jobs/661279-senior-python-developer-for-an-ai-system/
Python,-1,від       Upper-Intermediate,від         3 років досвіду,https://djinni.co/jobs/647895-python-developer/
"AI,Python,MongoDB,AWS Lambda,SQL",-1,Виключно       від       Upper-Intermediate,Без досвіду,https://djinni.co/jobs/661374-middle-python-developer/
"Algorithms,Numpy",-1,від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/661322-algorithms-developer-for-fintech-saas/
Python,$400-500,від       Advanced/Fluent,від         1 року досвіду,https://djinni.co/jobs/516063-junior-python/
-1,$1500-2500,Виключно       від       Upper-Intermediate,від         3 років досвіду,https://djinni.co/jobs/660887-middle-software-engineer-python-or-typescript/
"AWS,CI/CD,Python",-1,Виключно       від       Upper-Intermediate,Виключно                       від         3 років досвіду,https://djinni.co/jobs/651951-python-backend-engineer/
-1,-1,-1,-1,https://djinni.co/jobs/294995-middle-python-back-end-developer/
"Python,ML,CI/CD,Docker",-1,Виключно       від       Upper-Intermediate,Виключно                       від         1 року досвіду,https://djinni.co/jobs/660962-python-developer/
-1,-1,-1,-1,https://djinni.co/jobs/660976-senior-python-developer/
"Python,React",-1,Виключно       від       Upper-Intermediate,від         6 років досвіду,https://djinni.co/jobs/661093-senior-full-stack-developer-python-react-/
"Python,web scraping,Data Scraping & Processing,Selenium,Beautifulsoup",-1,від       Intermediate,Виключно                       від         1 року досвіду,https://djinni.co/jobs/643965-python-developer-scraping-/
-1,-1,Виключно       від       Intermediate,Виключно                       від         4 років досвіду,https://djinni.co/jobs/661019-python-developer-ai-ml-specialist-/
"Python,Django,Team Lead,CI/CD,Flask,Mongo DB",-1,Виключно       від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/373408-python-team-lead/
"Python,Django,Team Lead,CI/CD,Flask,Mongo DB",-1,від       Advanced/Fluent,від         5 років досвіду,https://djinni.co/jobs/643299-python-tech-lead/
"Python,Django,Team Lead,CI/CD,Flask,Mongo DB",-1,від       Advanced/Fluent,від         5 років досвіду,https://djinni.co/jobs/652126-python-tech-lead/
"Python / Django,Django,Django/Flask/Aiohttp/FastApi,Django/Python,Python/Django/Django-rest-framework,JS,Vue.js",-1,від       Advanced/Fluent,Виключно                       від         7 років досвіду,https://djinni.co/jobs/633773-senior-full-stack-django-developer/
-1,-1,Виключно       від       Intermediate,Виключно                       від         3 років досвіду,https://djinni.co/jobs/653391-middle-python-developer/
"REST,Django REST Framework,REST/gRPC/Websockets/MQ,RESTful APIs,REST API,RESTful API,Python",-1,-1,-1,https://djinni.co/jobs/660806-middle-developer-python/
"asyncio,gRPC,WebRTC,Python,Golang",-1,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/641653-senior-backend-engineer/
-1,$800-1500,Виключно       від       Upper-Intermediate,Виключно                       від         1 року досвіду,https://djinni.co/jobs/660884-junior-software-engineer-python-or-typescript/
